tenure_months,monthly_charges,support_tickets_last_90d,num_products,avg_login_frequency_per_week,churned
2.2,51.4,0,4,2.55,0
120.0,56.96,2,5,3.96,0
16.2,46.4,0,3,2.31,0
33.5,102.53,1,5,5.77,0
5.8,85.84,0,4,2.93,0
23.6,85.12,1,4,5.31,0
6.9,101.18,1,4,1.34,0
38.7,140.32,0,2,0.39,0
11.1,27.27,0,4,3.54,0
18.7,51.54,0,2,0.86,0
12.7,54.6,0,4,7.04,0
18.1,48.73,1,2,0.94,0
11.3,43.06,2,4,1.92,0
14.7,62.51,2,3,4.83,1
0.7,39.58,0,4,2.83,0
38.1,78.38,1,2,0.96,0
60.2,71.29,1,4,8.08,0
13.9,82.03,1,5,2.0,0
81.7,82.69,1,1,3.61,0
4.0,85.08,1,2,3.58,1
66.8,60.66,0,4,5.42,0
8.7,123.03,4,5,4.92,1
16.0,75.86,1,4,2.35,0
58.5,23.44,1,3,3.35,0
3.0,44.94,2,2,3.55,0
4.6,26.49,2,5,5.5,0
32.2,70.43,0,5,1.66,0
23.6,66.95,0,5,8.04,0
6.9,58.29,2,2,2.48,0
10.6,120.27,1,3,3.98,0
18.0,83.72,1,2,1.68,0
45.6,88.15,2,5,1.4,0
8.6,46.72,0,5,2.25,0
18.4,45.02,3,1,2.06,0
8.5,70.92,1,2,3.17,1
7.3,74.33,1,3,2.04,1
51.2,23.59,1,3,5.39,0
13.4,65.49,0,3,2.43,0
32.1,70.35,1,2,2.21,0
7.3,64.62,2,4,3.21,0
4.5,49.67,0,5,5.99,0
27.4,56.51,1,5,4.43,0
34.0,65.58,3,3,3.8,0
22.8,72.27,1,5,1.13,0
28.5,85.12,1,4,1.71,0
24.5,97.02,1,1,1.44,0
26.2,62.64,0,4,6.61,0
54.1,58.6,1,2,5.06,0
67.8,80.94,2,4,2.28,0
15.9,85.27,0,4,2.87,0
2.2,59.14,0,5,2.35,0
33.7,89.76,0,5,2.23,0
20.3,94.49,1,5,4.92,0
58.6,102.29,1,3,3.42,0
25.1,114.46,0,3,8.16,0
3.4,48.34,2,3,6.5,1
25.2,70.35,2,5,6.62,0
13.7,70.28,1,2,5.34,0
2.8,67.55,2,3,3.15,0
6.6,53.77,2,4,5.2,0
83.4,32.86,0,1,3.3,0
9.7,72.32,2,4,7.26,0
6.2,50.79,1,2,4.81,0
10.7,72.15,0,2,4.52,0
49.6,50.15,2,4,4.25,0
26.1,42.51,0,1,7.48,0
4.7,75.86,1,1,1.13,1
0.2,73.77,1,3,7.68,0
10.5,84.48,0,3,3.63,1
3.6,124.65,1,1,1.19,1
49.6,76.93,1,2,2.5,0
2.6,82.13,3,2,0.7,0
16.4,43.06,2,3,5.31,0
24.4,37.83,0,2,1.92,0
68.9,109.57,1,1,4.34,0
7.0,46.91,2,3,6.27,0
41.7,43.9,2,5,2.66,0
18.3,69.02,1,3,3.46,0
41.5,67.75,2,2,1.39,1
8.6,47.44,1,3,3.22,0
8.0,62.38,1,1,9.15,0
6.1,100.73,4,2,5.56,1
25.1,49.85,3,3,3.47,0
15.6,35.16,1,3,2.78,0
20.8,93.56,2,3,3.91,0
30.8,82.31,0,5,4.26,0
27.7,54.49,2,4,3.16,0
25.1,30.45,1,1,5.06,0
33.6,51.38,4,3,2.09,0
0.8,68.63,1,3,2.08,0
36.1,99.14,0,1,4.74,0
31.2,44.09,0,2,1.66,0
10.5,67.89,2,5,5.46,1
5.8,86.88,2,2,3.97,0
17.1,10.47,0,3,0.34,0
48.6,95.84,0,2,4.22,0
7.8,40.44,1,1,0.63,0
34.4,78.3,1,2,5.39,0
71.3,76.17,3,4,3.5,0
9.6,97.11,2,5,7.7,0
103.3,83.77,0,4,6.14,0
1.4,10.57,0,5,1.88,0
0.9,50.38,0,4,0.0,0
44.6,73.46,1,4,2.49,0
15.5,65.13,0,3,1.56,0
14.5,81.94,1,1,7.65,0
47.0,89.73,1,3,3.98,0
59.4,85.21,0,5,5.87,0
19.8,64.64,0,3,3.43,0
50.6,23.84,0,4,3.64,0
24.3,58.61,0,1,3.93,0
12.0,80.41,1,2,6.21,0
5.8,42.74,0,2,4.62,0
33.0,85.78,2,2,1.89,0
51.4,92.71,1,5,7.25,0
64.1,73.17,2,3,3.41,0
7.2,10.0,0,4,3.09,0
24.6,38.05,3,4,0.0,0
12.3,117.15,1,3,5.27,0
41.1,56.34,2,5,4.2,0
5.3,20.4,0,2,4.2,0
1.4,100.88,1,1,3.19,0
8.7,70.33,1,4,2.85,0
1.7,97.62,1,4,3.26,0
11.3,76.92,0,2,4.93,0
11.7,81.46,1,5,5.28,0
2.7,79.08,0,1,3.54,0
74.1,87.44,1,2,5.9,0
7.3,126.94,0,1,3.84,0
28.7,94.28,0,1,2.99,0
4.8,30.49,0,4,4.4,0
12.2,81.17,2,4,1.28,1
2.2,98.54,3,4,4.47,0
2.8,100.07,0,5,0.92,0
0.3,59.33,2,1,1.94,0
38.8,99.12,1,4,0.0,0
8.5,93.19,2,1,3.65,1
16.6,134.31,1,5,7.22,0
20.9,51.25,1,4,3.77,0
4.3,57.31,3,4,5.29,0
70.4,62.35,1,3,8.7,0
13.1,57.74,0,2,4.81,0
1.8,47.75,0,4,2.47,0
2.6,10.0,1,5,2.74,0
11.9,59.13,1,1,4.0,0
3.0,79.23,0,5,2.73,0
7.8,57.67,3,4,2.88,1
17.8,118.38,1,1,5.97,0
1.0,70.33,1,5,6.05,1
8.6,102.28,1,1,0.71,1
37.7,76.54,0,4,2.36,0
1.8,90.66,1,1,3.07,1
23.3,76.98,1,1,5.2,0
1.2,104.22,0,4,6.29,0
64.3,71.4,1,4,9.4,0
6.1,82.4,1,4,3.07,0
5.9,79.16,1,2,3.17,1
26.2,62.79,3,5,5.18,0
54.2,80.12,0,1,2.64,0
76.5,125.86,1,5,3.72,0
33.2,63.24,0,2,3.17,0
41.5,80.49,1,4,0.0,0
26.3,101.44,0,5,4.25,0
4.6,98.51,0,2,3.64,0
28.0,70.29,1,3,6.54,0
4.0,10.42,1,5,4.01,0
23.7,82.92,0,5,1.49,0
18.4,14.51,1,2,3.48,0
8.6,106.75,2,3,0.0,1
17.0,74.24,2,2,1.58,0
21.7,94.99,2,3,5.27,0
5.6,47.45,2,2,3.51,1
10.0,31.19,0,1,5.85,0
10.1,76.52,2,5,0.07,1
2.7,69.16,2,4,3.52,0
7.0,57.71,0,3,3.05,0
24.6,72.12,1,1,5.91,0
28.7,139.19,0,1,5.35,0
13.8,90.86,1,3,5.28,0
14.4,96.24,0,4,7.08,0
9.5,91.1,1,2,3.26,0
28.0,106.99,5,4,6.67,0
9.7,65.25,1,2,1.91,1
23.0,18.63,2,1,1.84,0
15.4,65.29,0,3,5.51,0
14.4,90.29,2,1,0.99,0
69.0,45.75,0,1,5.15,0
51.5,65.59,3,1,4.2,0
22.9,52.71,0,2,6.14,0
28.6,107.55,0,3,3.88,0
3.6,88.74,2,5,4.11,0
11.1,86.29,1,2,5.02,0
31.3,85.54,1,1,2.67,0
24.6,69.07,2,1,2.59,0
5.7,74.94,2,2,4.95,0
74.5,40.37,0,2,3.94,0
0.9,15.34,1,2,3.19,1
26.7,73.75,2,5,3.83,1
2.3,78.1,2,2,7.19,0
59.0,100.23,1,4,3.11,0
2.1,109.28,2,4,3.06,0
37.2,109.25,1,1,0.59,0
4.3,45.05,2,2,3.92,0
109.0,61.19,1,3,5.31,0
13.9,82.01,0,3,5.67,0
28.2,133.3,0,1,4.22,0
23.5,107.0,0,4,5.91,0
16.1,97.98,2,2,5.46,0
34.6,60.31,1,2,6.23,0
17.8,47.92,1,4,5.97,0
65.8,89.72,1,5,7.14,0
1.5,42.48,1,5,3.66,0
120.0,64.04,2,5,1.35,0
19.9,67.13,0,3,5.33,0
7.1,109.82,2,1,5.56,0
14.1,61.13,0,2,7.14,0
29.8,10.0,0,2,6.56,0
23.9,82.61,2,2,7.89,0
50.1,52.52,2,2,5.24,0
54.6,71.07,0,1,4.46,0
22.7,67.83,0,1,1.23,0
37.8,63.16,1,4,4.62,0
16.1,89.76,1,3,2.89,1
2.8,31.68,2,1,4.42,0
13.1,57.07,1,3,4.11,0
7.1,87.1,1,5,4.94,0
47.3,54.65,1,3,3.81,0
5.5,29.78,2,2,5.87,0
30.6,86.71,2,2,0.0,0
54.5,98.08,1,2,4.38,0
3.2,68.88,1,2,6.4,0
22.8,20.98,0,5,7.74,0
62.6,87.65,1,5,5.46,0
12.4,28.5,2,2,7.37,0
11.8,77.72,3,5,4.34,0
15.9,47.81,0,5,4.01,1
4.9,41.0,0,1,5.06,0
4.3,58.95,4,3,3.99,0
74.6,65.42,1,4,2.44,0
57.6,53.89,0,3,2.97,0
14.1,84.72,1,3,1.78,0
7.8,58.85,2,3,5.06,0
32.3,94.5,3,4,4.02,0
104.3,77.03,1,2,3.28,0
52.0,52.56,0,3,2.87,0
11.7,48.35,2,2,5.01,0
15.9,28.81,0,5,5.56,0
26.3,77.27,2,1,1.74,1
18.0,61.14,3,1,1.42,1
7.8,10.7,1,1,5.91,0
7.7,56.61,1,2,1.25,1
26.0,47.47,1,4,5.09,0
83.8,109.39,1,5,7.23,0
4.6,27.43,3,3,7.24,0
28.5,33.97,3,1,5.48,1
63.0,97.75,0,2,5.42,0
0.3,103.92,1,1,8.5,0
13.2,51.38,1,3,0.0,0
32.4,54.2,0,4,3.07,0
54.6,85.41,1,1,5.7,0
67.6,11.82,1,4,3.33,0
8.0,23.47,0,2,6.48,0
1.7,62.98,0,4,3.92,0
8.2,108.75,1,5,4.26,0
19.4,59.11,0,4,3.45,0
6.4,72.52,0,4,2.95,0
10.3,98.34,1,4,2.91,0
34.1,122.67,0,1,4.54,0
0.4,55.58,2,1,2.45,0
42.6,69.58,1,2,5.91,0
0.5,115.55,1,4,5.31,1
23.0,31.95,1,4,6.2,0
1.4,95.69,3,4,1.74,1
7.7,44.54,1,2,0.6,1
14.0,72.56,1,5,3.99,0
52.2,63.93,1,3,9.8,0
5.2,46.05,1,2,6.53,0
93.3,45.42,0,4,2.89,0
52.3,76.91,2,1,4.85,0
1.9,94.89,1,3,5.46,0
0.2,66.76,0,4,1.26,0
4.1,71.75,1,4,6.74,0
23.4,84.28,1,2,3.67,0
120.0,45.71,2,1,3.82,0
8.5,88.49,0,1,4.05,0
33.5,90.48,2,1,6.29,0
2.0,135.09,1,5,2.49,1
37.5,60.6,0,4,0.59,0
47.7,58.55,1,3,4.65,0
53.2,89.22,1,3,0.0,1
54.0,90.48,0,2,3.4,0
39.5,56.62,1,1,6.37,0
2.0,59.92,1,1,5.16,0
19.8,83.53,4,4,6.08,0
10.5,49.31,1,1,5.24,0
11.2,59.74,1,1,8.82,0
53.6,72.24,0,4,2.82,0
51.7,94.9,0,3,4.8,0
28.1,54.89,1,3,3.12,0
6.0,23.94,2,2,5.91,0
26.5,22.09,1,1,3.88,0
6.9,38.51,2,3,7.44,0
35.6,37.17,0,2,2.94,0
4.6,66.13,1,3,6.81,0
28.4,40.28,0,1,5.19,0
11.4,52.43,1,2,3.94,0
2.3,50.65,1,1,5.08,0
33.1,58.99,1,3,4.52,0
3.0,103.06,1,2,4.71,1
102.6,86.55,0,2,3.59,0
15.8,70.4,1,3,2.6,0
8.5,58.47,2,3,3.33,0
4.8,59.17,0,2,0.63,0
17.5,78.19,0,4,5.68,0
33.4,84.6,0,2,1.53,0
42.6,47.31,1,2,3.56,0
21.1,70.91,2,3,5.3,0
81.3,19.21,1,1,5.68,0
37.2,75.29,1,3,0.45,0
4.3,89.05,1,3,3.82,0
77.7,63.0,2,1,4.92,0
9.7,115.41,1,3,4.1,0
81.6,47.97,1,1,6.69,0
7.4,75.44,0,4,2.36,0
12.6,69.1,1,1,0.0,1
27.5,67.49,0,1,5.62,0
1.8,67.14,3,2,2.93,1
63.2,72.68,1,4,0.48,0
10.8,91.2,2,4,3.68,1
6.2,104.44,2,3,6.46,0
1.5,69.94,4,1,1.47,1
0.6,90.38,0,2,8.67,0
0.7,52.46,0,4,2.32,0
9.2,89.15,2,1,4.17,0
8.8,50.95,0,4,1.56,0
24.5,97.27,0,2,4.08,0
55.0,125.27,2,1,3.73,0
28.1,66.95,3,4,1.02,0
26.2,15.19,3,1,9.65,0
13.3,56.3,2,2,3.01,1
23.2,100.8,1,1,3.01,0
19.2,83.83,1,3,5.94,0
1.3,76.22,1,1,7.63,0
6.4,95.22,2,1,6.25,1
6.2,82.11,0,3,1.6,0
1.8,100.44,0,5,4.43,0
11.0,92.99,2,1,0.24,1
1.4,108.04,0,3,5.8,0
36.1,78.97,0,5,0.73,0
37.0,92.63,0,2,2.39,0
2.6,62.32,2,3,3.99,0
2.1,54.96,1,5,4.89,0
75.1,112.67,1,4,3.48,1
7.5,75.41,3,2,7.04,1
16.9,90.12,1,4,5.45,0
14.8,73.09,1,4,5.29,0
30.6,55.34,0,3,1.54,0
24.9,70.27,0,3,7.4,0
54.9,105.9,1,5,2.39,0
4.5,83.88,1,5,7.48,0
24.8,27.21,2,5,8.04,0
10.3,64.62,1,4,5.03,0
17.2,114.56,1,2,6.06,1
99.5,64.66,1,1,0.0,0
13.0,24.99,1,1,3.61,0
28.3,117.33,2,5,6.2,0
15.4,87.06,0,2,5.85,0
4.7,68.25,0,1,1.56,0
0.5,60.71,0,2,3.41,0
37.4,97.06,0,1,0.0,0
2.3,56.45,1,3,4.83,0
4.7,98.71,1,3,0.23,1
21.9,83.55,0,2,6.26,0
9.0,76.12,1,4,6.37,0
14.7,73.64,1,3,3.05,0
15.0,65.63,2,5,5.04,0
0.6,96.14,2,4,3.57,0
53.0,48.37,3,1,4.48,0
97.3,29.45,1,2,1.71,0
16.4,85.36,1,4,5.24,0
9.9,85.78,0,3,0.72,0
54.5,82.01,0,4,0.34,0
12.9,80.19,1,2,3.76,0
23.4,61.99,0,1,3.58,0
49.7,89.69,0,4,4.54,0
10.3,68.86,1,4,2.7,0
46.2,57.82,0,4,7.77,0
27.4,62.2,1,3,4.32,0
24.6,120.52,3,1,4.47,0
42.4,26.63,1,4,4.39,0
0.4,82.49,0,4,6.01,1
9.0,28.02,0,4,5.15,0
5.4,67.29,0,1,4.88,0
7.9,59.16,1,4,5.47,0
10.1,17.87,0,4,0.35,0
6.2,79.73,1,5,0.43,0
14.3,60.5,0,3,3.85,0
8.5,17.52,0,4,3.6,0
13.5,90.99,0,3,5.16,0
15.6,105.88,0,4,4.04,0
6.5,107.25,2,4,5.16,0
23.3,78.97,1,4,1.51,0
28.2,71.15,1,5,3.98,0
37.4,103.2,0,1,1.32,1
5.5,112.06,1,4,4.77,0
23.8,98.34,0,4,0.24,0
32.9,46.46,0,3,4.7,0
1.1,75.03,1,3,1.06,0
13.7,80.99,1,4,3.23,0
22.8,24.76,1,3,5.79,0
7.1,81.73,0,3,4.45,0
44.1,126.82,2,5,0.71,1
31.1,86.0,0,4,2.66,0
4.6,106.84,4,2,1.0,0
14.3,74.57,1,5,0.61,0
80.5,68.17,2,2,4.24,0
19.1,79.53,2,1,5.12,1
34.1,49.6,1,5,4.88,0
59.4,45.91,5,2,5.21,0
14.2,101.66,1,2,3.98,0
2.3,104.31,2,2,3.45,1
6.0,45.22,2,3,1.85,1
15.9,94.2,2,1,3.12,0
14.1,67.83,0,1,1.36,0
19.5,78.5,2,2,2.31,0
31.6,81.51,1,2,4.18,0
36.5,94.86,2,1,3.76,0
25.6,72.07,3,5,10.13,0
68.6,105.25,0,3,1.31,0
86.8,77.74,0,1,3.75,0
31.3,85.6,2,1,1.15,0
46.7,49.17,1,5,3.22,0
12.4,123.97,2,2,3.31,0
3.5,81.75,0,1,5.69,0
20.2,87.82,0,4,3.1,0
62.2,29.8,1,5,3.62,0
3.8,49.43,1,2,3.14,0
10.5,100.95,1,4,1.2,0
24.0,77.17,0,3,2.7,0
13.8,22.16,2,1,3.24,0
1.3,95.96,0,4,4.15,0
99.7,56.41,2,5,5.12,0
18.6,105.28,0,5,3.53,0
7.0,67.8,0,1,3.5,0
11.9,75.12,2,3,0.56,0
0.7,99.47,1,4,5.08,0
19.3,47.56,1,1,2.61,0
39.5,45.18,0,5,5.49,0
19.4,65.09,1,1,6.63,0
35.6,90.68,3,2,3.62,0
16.2,36.73,1,5,1.95,0
35.0,28.3,2,3,3.97,0
17.0,90.59,0,4,4.7,0
24.5,54.93,3,3,3.37,0
46.1,60.19,3,4,2.87,0
105.4,23.58,3,1,5.13,0
12.9,53.03,1,4,5.0,0
82.7,69.81,1,1,3.31,0
2.7,93.26,0,1,0.69,0
21.8,50.72,4,3,4.91,1
16.9,111.43,1,3,2.47,1
20.7,52.89,0,1,4.43,0
44.3,52.92,1,4,4.3,0
11.9,108.43,2,2,0.22,1
100.8,75.29,0,5,4.16,0
19.1,56.2,1,1,5.03,0
35.1,66.12,1,2,5.27,0
21.3,103.83,2,2,4.23,0
17.7,106.66,0,3,0.05,0
13.8,49.58,1,3,6.55,0
0.6,68.94,0,1,4.82,1
94.3,72.25,2,3,1.59,0
25.0,45.34,2,5,2.42,0
66.2,68.61,1,1,4.46,0
97.1,70.13,1,2,5.36,0
37.2,98.51,1,3,3.02,0
11.5,100.19,1,4,5.65,0
15.2,61.77,1,1,0.41,0
2.4,64.65,2,2,1.92,1
56.9,86.61,0,2,0.0,0
28.2,55.37,0,4,2.21,0
65.9,84.72,1,1,7.02,0
58.2,67.8,1,4,8.12,0
1.0,45.77,0,3,4.47,0
42.4,46.08,2,2,2.72,0
3.5,106.18,1,5,3.56,0
1.8,66.09,1,5,4.95,0
27.3,111.01,2,5,0.87,1
14.6,57.16,5,5,2.86,1
37.8,77.28,1,2,6.87,0
78.5,129.82,1,5,1.91,0
13.2,43.57,1,1,2.5,0
22.2,22.55,1,2,4.03,0
0.1,102.16,1,3,4.57,0
5.5,49.33,0,4,2.75,0
26.9,69.48,4,3,4.15,1
0.3,55.35,1,3,5.22,0
25.2,76.7,1,2,7.92,0
23.8,46.24,0,3,3.75,0
2.3,65.5,2,3,3.92,0
62.4,81.25,2,3,7.05,0
34.8,44.79,1,3,2.9,0
57.5,52.5,0,4,1.35,0
4.0,61.32,1,2,4.5,1
33.7,34.28,0,1,6.15,0
10.1,59.44,1,2,4.72,0
73.1,72.97,2,3,3.81,0
15.9,60.01,1,1,1.1,1
23.1,63.22,1,1,3.88,0
7.8,69.5,1,5,6.47,0
15.4,53.61,1,2,1.53,1
33.5,87.28,0,4,3.51,0
25.5,105.9,1,1,3.23,0
0.3,58.39,1,5,2.6,1
0.9,82.13,0,2,4.5,0
14.7,64.01,1,2,4.89,0
36.2,79.14,3,4,4.87,0
22.4,109.14,2,2,2.05,1
4.8,82.72,1,3,0.71,1
39.0,25.66,1,4,4.52,0
80.9,81.35,0,1,2.99,0
9.9,100.82,1,1,7.68,0
15.6,64.46,0,4,7.77,0
14.1,94.89,0,2,7.98,0
8.3,52.75,0,5,2.12,0
10.2,32.86,1,5,5.14,0
8.6,73.53,2,5,5.74,0
4.9,26.09,0,5,5.52,0
1.4,64.01,2,5,3.29,0
8.1,102.17,0,2,6.56,0
52.1,22.26,1,5,4.0,0
9.3,38.01,1,2,4.26,0
6.5,44.2,1,3,0.92,0
37.3,68.42,0,1,5.29,0
12.4,60.86,0,5,3.48,0
34.4,104.98,1,3,4.93,0
27.9,93.86,0,5,4.47,0
27.9,82.38,1,2,4.36,0
8.7,73.64,0,2,3.91,0
20.5,79.83,1,3,5.57,0
69.7,48.45,0,5,3.6,0
32.6,91.43,2,3,1.09,0
29.3,42.2,2,4,5.14,0
14.5,90.88,2,2,2.38,0
28.0,99.65,1,4,1.35,0
17.6,75.27,0,4,1.96,0
4.3,65.59,3,5,4.57,1
8.5,80.01,1,1,3.81,0
4.1,10.0,3,2,0.0,1
26.3,77.56,0,1,3.23,0
2.4,67.17,0,3,6.34,0
2.2,68.73,1,4,3.1,0
5.2,87.66,2,4,3.67,0
11.4,68.13,1,4,6.09,0
4.2,41.49,0,4,5.59,1
31.5,66.46,2,5,6.04,0
18.6,71.69,0,5,0.0,0
120.0,72.87,1,3,7.47,0
81.9,74.05,1,5,5.27,0
17.2,95.98,0,1,8.92,0
15.3,42.85,1,4,2.44,0
2.9,74.39,0,3,0.47,0
39.6,102.25,2,5,4.01,0
84.6,26.63,0,3,3.45,0
15.8,74.49,4,1,5.31,1
37.9,55.37,1,4,6.15,0
0.5,60.73,3,5,3.83,0
120.0,47.38,0,1,3.52,0
2.5,65.76,1,1,5.05,0
36.3,116.03,2,4,3.49,0
1.3,38.39,0,3,3.32,1
8.2,40.76,3,3,6.07,1
9.6,37.45,1,1,6.52,0
25.4,113.19,1,3,6.17,0
1.6,58.44,3,3,3.66,1
10.8,69.36,0,5,0.0,0
5.8,59.93,1,2,3.7,0
2.9,46.39,1,2,2.48,0
40.4,64.12,1,1,3.74,0
11.5,131.46,2,3,2.66,1
2.4,104.8,2,4,3.96,1
13.8,48.68,0,2,1.92,0
4.7,86.19,1,4,1.44,0
0.0,49.21,2,5,6.45,0
2.6,25.59,3,1,2.06,0
28.7,95.49,1,3,4.0,0
0.0,99.0,0,4,5.91,0
11.5,96.15,1,1,5.83,0
16.8,58.25,0,1,5.59,0
7.2,65.83,1,2,4.61,0
19.3,88.74,1,1,5.45,0
43.9,79.79,1,2,6.75,0
15.0,60.16,2,1,4.85,0
14.1,29.52,1,5,0.33,0
3.6,72.85,1,3,2.94,0
15.2,96.98,1,2,5.39,0
55.7,40.06,2,4,2.75,0
14.0,85.97,1,1,7.24,0
17.5,78.29,0,3,3.87,0
69.0,88.75,2,4,4.17,0
9.6,91.8,2,5,6.25,0
1.1,52.64,1,2,3.63,0
50.4,29.58,0,3,4.35,0
16.6,56.66,1,4,5.8,0
3.4,92.23,3,4,1.06,0
2.1,56.45,2,1,3.43,0
16.0,52.65,2,5,5.66,0
37.7,24.47,2,2,4.13,0
0.7,113.82,2,2,6.93,0
1.7,90.64,1,1,0.85,0
2.7,89.25,0,1,0.62,1
4.1,94.19,0,2,5.54,0
23.9,84.42,0,1,5.73,1
1.4,63.89,3,4,3.61,0
45.8,65.91,3,3,4.8,0
60.4,59.31,0,2,5.49,0
119.9,135.87,2,3,2.37,0
0.2,83.9,1,4,2.59,1
5.2,58.4,0,1,4.38,1
17.6,81.64,2,2,5.81,0
1.7,44.73,2,5,1.67,0
98.7,107.61,2,1,3.6,0
80.5,53.47,2,5,3.51,0
16.4,82.53,0,5,4.84,0
47.9,96.65,2,2,3.98,1
49.7,79.62,0,2,2.91,0
18.1,72.36,1,2,6.5,0
11.7,70.27,0,3,2.92,0
48.2,68.59,4,2,3.42,0
14.4,55.58,1,4,0.82,0
59.6,58.76,0,2,2.57,0
24.3,106.99,3,5,5.03,0
16.4,67.29,4,5,4.64,1
12.0,50.36,4,3,5.2,0
8.2,57.09,0,3,5.1,0
5.3,97.51,0,1,8.18,0
0.3,86.89,3,1,2.5,1
